file	coverage	bed	kit	covered_regions_name	covered_regions_padding
Borad_Nextera.final.maf.gz	exome	Nextera_Rapid_Capture_hg38.bed.gz	Nextera_RC	Nextera_RC	0
Borad_SureSelectV1.final.maf.gz	exome	SureSelect_Human_All_Exon_V1_target_regions_hg38.bed.gz	SureSelect_V1	SureSelect_V1_ip100	100
Borad_SureSelectV4-UTR.final.maf.gz	exome	SureSelect_V4+UTR_hg38.bed.gz	SureSelect_V4_UTR	SureSelect_V4_UTR_ip100	100
Borad_Truseq.final.maf.gz	exome	TruSeq_Exome_Enrichment_targeted_regions_hg38.bed.gz	TruSeq_EE	TruSeq_EE_ip100	100
Chan-on_SureSelectV1.final.maf.gz	exome	SureSelect_Human_All_Exon_V1_target_regions_hg38.bed.gz	SureSelect_V1	SureSelect_V1	0
Chan-on_SureSelectV4-UTR.final.maf.gz	exome	SureSelect_V4+UTR_hg38.bed.gz	SureSelect_V4_UTR	SureSelect_V4_UTR	0
Gao.final.maf.gz	exome	TruSeq_Exome_Enrichment_targeted_regions_hg38.bed.gz	TruSeq_EE	TruSeq_EE	0
Jiao.final.maf.gz	exome	SureSelect_V2_hg38.bed.gz	SureSelect_V2	SureSelect_V2_ip100	100
Jusakul_tgs.final.maf.gz	targeted	jusakul_tgs_hg38.bed.gz	Jusakul_TGS	Jusakul_TGS	0
MSK_2021_IHCH_IMPACT341.final.maf.gz	targeted	IMPACT341_b37_targets_hg38.bed.gz	MSK341	MSK341_ip100	100
MSK_2021_IHCH_IMPACT410.final.maf.gz	targeted	IMPACT410_b37_targets_hg38.bed.gz	MSK410	MSK410_ip100	100
MSK_2021_IHCH_IMPACT468.final.maf.gz	targeted	IMPACT468_b37_targets_hg38.bed.gz	MSK468	MSK468_ip100	100
Nepal.final.maf.gz	exome	SureSelectV4_All_Exon_covered_regions_hg38.bed.gz	SureSelect_V4	SureSelect_V4_ip100	100
Sia.final.maf.gz	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3	0
TCGA-CHOL.final.maf.gz	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3	0
Wardell_wes_wgs_exome_calls.final.maf.gz	exome	Nextera_Rapid_Capture_hg38.bed.gz	Nextera_RC	Nextera_RC	0
Yale.final.maf.gz	exome	SeqCap_EZ_Exome_v2_targets_hg38.bed.gz	SeqCap_v2	SeqCap_v2	0
Zhang.final.maf.gz	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3_ip100	100
Zou.final.maf.gz	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3	0
btca_jp_nakamura_SureSelectV4-UTR.final.maf.gz	exome	SureSelect_V4+UTR_hg38.bed.gz	SureSelect_V4_UTR	SureSelect_V4_UTR_ip100	100
btca_jp_nakamura_SureSelectV5-UTR.final.maf.gz	exome	SureSelect_V5+UTR_hg38.bed.gz	SureSelect_V5_UTR	SureSelect_V5_UTR_ip100	100
btca_sg_wgs_jusakul.final.maf.gz	genome	NA	NA	NA	NA
