signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp1.detection	grp2.detection	signif_label
SBS1	IHC-EHC	IHC	EHC	3.10871766572319e-05	0	0.0504697533516351	0.125311671883192	0.216278862791771	0.657665244130419	0.147058261955008	0.00391240601535627	0.093080155714051	0.182333313184667	0.309203547690882	0.542566548330188	0.208030992448498	0.776377510040161	0.875586776859504	***
SBS10a	IHC-EHC	IHC	EHC	0.489354698562913	0	0	0	0	0.33422850358624	0.00134228314693269	0	0	0	0	0	0	0.00401606425702811	0	
SBS10b	IHC-EHC	IHC	EHC	0.737243438868517	0	0	0	0	0.485382024520957	0.00210988794834877	0	0	0	0	0.00040335796128725	3.33353687014256e-06	0.00693574297188755	4.95867768595041e-05	
SBS10c	IHC-EHC	IHC	EHC	0.0878076963505752	0	7.46523477962909e-05	0.00335280159748612	0.0284021951006346	0.164890620557453	0.0204601260337844	0	0	0.00157447648928901	0.0151599506473085	0.212936255391525	0.0177711335136258	0.186638554216867	0.139157024793388	
SBS10d	IHC-EHC	IHC	EHC	0.743056023043118	0	0	0	0.000802328917784679	0.052137493276421	0.00229479013840977	0	0	0	0.000653427511135673	0.0309252120978297	0.00144964837811474	0.0242570281124498	0.0183388429752066	
SBS12	IHC-EHC	IHC	EHC	0.000114243047559869	0	0.000251080000417437	0.00485042358607518	0.0286393921662028	0.277448347730974	0.0243624997121209	0	0	0.000948395307581725	0.0125866094683567	0.110357560478847	0.0107325994974287	0.196915662650602	0.099900826446281	***
SBS13	IHC-EHC	IHC	EHC	2.70632466837268e-05	0	0	0.00360401537150435	0.028456177987897	0.298281397555889	0.0243071702401864	0	0.000356135219372639	0.0181690817823532	0.0829645263566814	0.467818169172236	0.0634623659157499	0.262240963855422	0.45204958677686	***
SBS15	IHC-EHC	IHC	EHC	0.153551253934113	0	0	0	0	0.470417942801817	0.023091875577585	0	0	0	0	0.431734745381483	0.0270739702505958	0.0958955823293173	0.121471074380165	
SBS16	IHC-EHC	IHC	EHC	0.00613412874119096	0	0	0.00308542467428734	0.0275709825835401	0.517768177215653	0.0347662224198684	0	0	0.000605667801630957	0.0108765427665131	0.289423185607631	0.0195440933684938	0.203333333333333	0.119925619834711	**
SBS17a	IHC-EHC	IHC	EHC	0.238870450893835	0	0	0	0.0058647237039784	0.0706007577005264	0.0064060196315356	0	0	5.48237993619172e-05	0.00870873677594373	0.0726735018889299	0.00741868517735426	0.0844859437751004	0.0952231404958678	
SBS17b	IHC-EHC	IHC	EHC	0.530119251919059	0	0	0	0.00424201078060717	0.153809985076058	0.00731884633579568	0	0	0	0.00400643067852796	0.270370798863671	0.00782571221248408	0.106461847389558	0.105520661157025	
SBS18	IHC-EHC	IHC	EHC	0.0586219085468919	0	0	0.00137559028451946	0.0143719839508163	0.404546482281776	0.0223501702636818	0	0	0.000272421645877005	0.00773000244826602	0.105485140647127	0.0105480351007669	0.136044176706827	0.0902314049586777	
SBS2	IHC-EHC	IHC	EHC	2.25238352514618e-06	0	0.000334373506978257	0.0157391273919494	0.0480406648454551	0.384811078401798	0.0341559111461205	0	0.0118439372314142	0.047931144609924	0.105134789329753	0.466674755170181	0.0740919026871466	0.39429718875502	0.581198347107438	***
SBS20	IHC-EHC	IHC	EHC	0.347599538293877	0	0	0	0	0.262456904916382	0.00620015907728796	0	0	0	0	0.271730290471762	0.00531923877928134	0.0424859437751004	0.0337933884297521	
SBS21	IHC-EHC	IHC	EHC	0.095276148773449	0	0	0	0	0.255257426019838	0.0027244219307308	0	0	0	0	0.159439159324872	0.00195087163526743	0.0191124497991968	0.0169090909090909	
